50:	1	1	2	2	X	1	1	2	X	1	1
51:	1	1	1	X	X	2	1	1	X	2	1
52:	1	1	1	2	2	X	1	1	2	X	1
53:	1	1	1	1	X	X	2	1	1	X	2
54:	1	1	1	1	2	2	X	1	1	2	X
55:	2	1	1	1	1	X	X	2	1	1	X
56:	X	1	1	1	1	2	2	X	1	1	2
57:	X	2	1	1	1	1	X	X	2	1	1
58:	2	X	1	1	1	1	2	2	X	1	1
59:	1	X	2	1	1	1	1	X	X	2	1
60:	1	2	X	1	1	1	1	2	2	X	1
61:	1	1	X	2	1	1	1	1	X	X	2
62:	1	1	2	X	1	1	1	1	2	2	X
63:	2	1	1	X	2	1	1	1	1	X	X
64:	X	1	1	2	X	1	1	1	1	2	2
65:	X	2	1	1	X	2	1	1	1	1	X
66:	2	X	1	1	2	X	1	1	1	1	2
67:	2	X	1	2	2	1	1	1	2	1	1
68:	X	2	1	X	X	1	1	1	X	1	1
69:	1	2	X	1	2	2	1	1	1	2	1
70:	1	X	2	1	X	X	1	1	1	X	1
71:	1	1	2	X	1	2	2	1	1	1	2
72:	1	1	X	2	1	X	X	1	1	1	X
73:	2	1	1	2	X	1	2	2	1	1	1
74:	X	1	1	X	2	1	X	X	1	1	1
75:	1	2	1	1	2	X	1	2	2	1	1
76:	1	X	1	1	X	2	1	X	X	1	1
77:	1	1	2	1	1	2	X	1	2	2	1
78:	1	1	X	1	1	X	2	1	X	X	1
79:	1	1	1	2	1	1	2	X	1	2	2
80:	1	1	1	X	1	1	X	2	1	X	X
81:	2	1	1	1	2	1	1	2	X	1	2
82:	X	1	1	1	X	1	1	X	2	1	X
83:	2	2	1	1	1	2	1	1	2	X	1
84:	X	X	1	1	1	X	1	1	X	2	1
85:	1	2	2	1	1	1	2	1	1	2	X
86:	1	X	X	1	1	1	X	1	1	X	2
87:	X	1	2	2	1	1	1	2	1	1	2
88:	2	1	X	X	1	1	1	X	1	1	X
89:	2	X	1	X	1	2	1	2	1	1	1
90:	X	2	1	2	1	X	1	X	1	1	1
91:	1	2	X	1	X	1	2	1	2	1	1
92:	1	X	2	1	2	1	X	1	X	1	1
93:	1	1	2	X	1	X	1	2	1	2	1
94:	1	1	X	2	1	2	1	X	1	X	1
95:	1	1	1	2	X	1	X	1	2	1	2
96:	1	1	1	X	2	1	2	1	X	1	X
97:	2	1	1	1	2	X	1	X	1	2	1
98:	X	1	1	1	X	2	1	2	1	X	1
99:	1	2	1	1	1	2	X	1	X	1	2
100:	1	X	1	1	1	X	2	1	2	1	X
101:	2	1	2	1	1	1	2	X	1	X	1
102:	X	1	X	1	1	1	X	2	1	2	1
103:	1	2	1	2	1	1	1	2	X	1	X
104:	1	X	1	X	1	1	1	X	2	1	2
105:	X	1	2	1	2	1	1	1	2	X	1
106:	2	1	X	1	X	1	1	1	X	2	1
107:	1	X	1	2	1	2	1	1	1	2	X
108:	1	2	1	X	1	X	1	1	1	X	2
109:	X	1	X	1	2	1	2	1	1	1	2
110:	2	1	2	1	X	1	X	1	1	1	X
111:	X	X	1	1	X	1	X	1	1	2	1
112:	2	2	1	1	2	1	2	1	1	X	1
113:	1	X	X	1	1	X	1	X	1	1	2
114:	1	2	2	1	1	2	1	2	1	1	X
115:	2	1	X	X	1	1	X	1	X	1	1
116:	X	1	2	2	1	1	2	1	2	1	1
117:	1	2	1	X	X	1	1	X	1	X	1
118:	1	X	1	2	2	1	1	2	1	2	1
119:	1	1	2	1	X	X	1	1	X	1	X
120:	1	1	X	1	2	2	1	1	2	1	2
121:	X	1	1	2	1	X	X	1	1	X	1
122:	2	1	1	X	1	2	2	1	1	2	1
123:	1	X	1	1	2	1	X	X	1	1	X
124:	1	2	1	1	X	1	2	2	1	1	2
125:	X	1	X	1	1	2	1	X	X	1	1
126:	2	1	2	1	1	X	1	2	2	1	1
127:	1	X	1	X	1	1	2	1	X	X	1
128:	1	2	1	2	1	1	X	1	2	2	1
129:	1	1	X	1	X	1	1	2	1	X	X
130:	1	1	2	1	2	1	1	X	1	2	2
131:	X	1	1	X	1	X	1	1	2	1	X
132:	2	1	1	2	1	2	1	1	X	1	2
133:	1	1	1	1	1	1	1	1	1	1	1
